rank,subscribers,Title,category,video views,highest_yearly_earnings,Country
302,22900000,BabyBus - Canciones Infantiles & Videos paraï,Education,13206471140.0,6600000.0,Mexico
304,22700000,Vania Mania Kids,People & Blogs,10115316784.0,7500000.0,United States of America
306,22600000,Sun TV,People & Blogs,20847038152.0,47100000.0,India
307,22600000,Heroindori,Comedy,9223534599.0,19200000.0,India
308,22600000,The Chainsmokers,Music,14231943358.0,3900000.0,United States of America
309,22600000,mmoshaya,People & Blogs,17507060680.0,3500000.0,Saudi Arabia
310,22600000,Sia,Music,13405849040.0,4600000.0,United States of America
311,22600000,LeoNata Family,People & Blogs,27084848152.0,56300000.0,United States of America
312,22500000,Goldmines Cineplex,Film & Animation,2431154438.0,2300000.0,India
314,22500000,SSundee,Gaming,13835173331.0,8400000.0,United States of America
315,22400000,Paulo Londra,Music,8040036209.0,3500000.0,Argentina
316,22300000,SMILE Family,People & Blogs,8663830163.0,35.0,France
317,22300000,FGTeeV,Gaming,24059336857.0,6300000.0,United States of America
318,22200000,Kinder Spielzeug Kanal (Kidibli),Entertainment,11136266461.0,6700000.0,United States of America
319,22000000,Charlie Puth,Music,9924807127.0,5400000.0,United States of America
321,22000000,Sagawa /ïïï,Entertainment,18347969186.0,34100000.0,Japan
322,21900000,Ben Azelart,Film & Animation,4454917643.0,8900000.0,United States of America
323,21900000,Zach Choi ASMR,People & Blogs,5918314128.0,11200000.0,United States of America
324,21900000,Topper Guild,Comedy,15552070846.0,33000000.0,United States of America
325,21900000,disneylatinoamerica,Entertainment,20657571751.0,227.0,Mexico
326,21800000,Stokes Twins,People & Blogs,4469711607.0,9500000.0,United States of America
327,21800000,National Geographic,Science & Technology,5614621131.0,2200000.0,United States of America
328,21800000,Dua Lipa,Music,11288359365.0,6100000.0,United Kingdom
329,21800000,OneDirectionVEVO,Music,12140232004.0,2500000.0,United Kingdom
334,21600000,DUDU e CAROL,Autos & Vehicles,9597894786.0,9300000.0,Brazil
335,21600000,Village Cooking Channel,Howto & Style,5863377051.0,9300000.0,India
336,21600000,Eva Bravo Play,Entertainment,9346383505.0,3100000.0,United States of America
337,21500000,Tekashi 6ix9ine,People & Blogs,5890180734.0,5400000.0,United States of America
338,21500000,tlnovelas,News & Politics,15013096899.0,742.0,Mexico
340,21500000,INVICTOR,Gaming,8409641722.0,2.0,Chile
342,21400000,Sidhu Moose Wala,Music,6264261757.0,7700000.0,India
343,21300000,The Royalty Family,People & Blogs,6269945014.0,7700000.0,United States of America
344,21300000,Becky G,Music,10644857969.0,5000000.0,United States of America
345,21300000,Ishaan Ali 11,People & Blogs,12761253839.0,35000000.0,India
346,21300000,Infinite,Entertainment,5141834668.0,3300000.0,United States of America
347,21300000,Azhan5star,Entertainment,10047736580.0,11300000.0,India
348,21300000,Dangal TV Channel,Entertainment,12895427184.0,26900000.0,India
350,21200000,GMA Public  Affairs,Entertainment,11364908616.0,6800000.0,Philippines
